Екатеринбург,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",1940,,790,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2290,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Зимняя деревенька на солодовом спирте 0,5",1460,,430,,,,,,,,,1100,360
"Водка Тундра Аутентик 0,5",1510,,450,,,,,,,,,1000,390
"Водка Русский Стандарт Голд 0,5",1650,,530,,,,,,,,,1100,440
"Водка Белая Березка 0,5",1680,,550,,,,,,,,,1100,430
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2490,,1000,,,,,,,,,1800,1000
"Водка Белуга Нобл 0,5 л",2850,,1200,,,,,,,,,2300,1000
"Водка Чистые росы 0,5 ",2850,,1200,,,,,,,,,2500,1200
Водка Грей Гуз 0.5л ,5720,,2800,,,,,,,,,3300,2350
"Водка Белый чай имбирь 0,5 л",,нет,нет,,,,,,,,,1600,750
"Водка АБСОЛЮТ 40% 0,5Л ",,нет,нет,,,,,,,,,2600,1190
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Старлей 0,7 л",1630,,524,,,,,,,,,,
"Водка Зимняя Деревенька на солодовом спирте  0,7",1720,,570,,,,,,,,,1200,490
"Водка ХАСКИ 40% 0,7Л",1740,,580,,,,,,,,,,
"Водка Тундра Аутентик 0,7",1770,,600,,,,,,,,,1200,450
"Водка Пять Озер 0,7",1840,,640,,,,,,,,,1200,460
"Водка Белая Березка  0,7",1860,,650,,,,,,,,,1300,590
"Водка Русский Стандарт  0,7",1950,,700,,,,,,,,,1400,620
"Водка Дикий мед классика туба 0,7 л",2020,,740,,,,,,,,,1400,650
"Водка ФИНЛЯНДИЯ 40% 0,7Л",3210,,1400,,,,,,,,,,
Водка Онегин 0.7 л,3390,,1500,,,,,,,,,,
"Водка Белуга Транслантик 0,7Л",3750,,1700,,,,,,,,,2800,1100
"Водка Чистые росы 0,7 ",3920,,1800,,,,,,,,,2700,1400
"Водка Суммум 0,7 л",4280,,2000,,,,,,,,,3000,2000
"Водка АБСОЛЮТ 40% 0,7Л ",,нет,нет,,,,,,,,,2800,1400
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Водка ПЯТЬ ОЗЕР 40% 1Л,1950,,700,,,,,,,,,,
Водка Зимняя Деревенька на солодовом спирте 1л,2120,,800,,,,,,,,,1500,580
Водка Русский Стандарт 1л,2350,,920,,,,,,,,,1600,850
Водка Белая Березка 1Л,2390,,950,,,,,,,,,1500,770
Водка Медведь 1 л,2670,,1100,,,,,,,,,1700,900
,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп 
"Висковый напиток крепкий Золотой Джокер 0,5",1410,,400,,,,,,,,,,
"Виски Нобл Стаг спайсд 0,5 л",1580,,490,,,,,,,,,,
"Виски Нобл Стаг яблоко 0,5 л",1580,,490,,,,,,,,,,
"Виски купажированный РЭД ЭНД БЛЭК 3 ГОДА 40% 0,5Л",1770,,600,,,,,,,,,,
"Виски Нобл Стаг 0,5 л",1930,,690,,,,,,,,,,
"Виски Наки Томпсон 3 года купажированный 0,5",2120,,800,,,,,,,,,1500,780
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2490,,1000,,,,,,,,,1600,900
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2580,,1050,,,,,,,,,2000,1050
"Виски бурбон ДЖИМ БИМ 4 ГОДА БЕЛ. ЭТИК. 40% 0,5Л",,нет,нет,,,,,,,,,2900,1999
"Виски Баллантайнс Файнест 0,5л",,,,,,,,,,,,,
"Виски Джек Дениел`с Теннесси не менее 3 лет 0,5л",,,,,,,,,,,,,
,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп 
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2380,,940,,,,,,,,,1400,650
"Виски Наки Томпсон 3 года купажированный 0,7",2820,,1190,,,,,,,,,1800,1190
"Виски купажированный шотландский Сир Эдвардс 0,7 л",2940,,1250,,,,,,,,,1800,900
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7",3020,,1300,,,,,,,,,1900,899
"Виски Баллантайнс Файнест не менее 3 лет купажир. 0,7",3750,,1700,,,,,,,,,3400,1600
"Виски Джонни Уокер Рэд Лейбл не менее 3 лет купажир. 0,7 л",4280,,2000,,,,,,,,,2600,2250
"Виски (бурбон) Джим Бим 4 года зерновой 0,7 ",4280,бристоль,2000,,,,,,,,,3200,1100
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",4460,,2100,,,,,,,,,2400,2100
Виски ирланский Поугс оригинальный (черный) 0.7л,4460,бристоль,2100,,,,,,,,,3000,2100
"Виски Джим Бим Эппл 0,7 л",4550,,2150,,,,,,,,,3200,2150
Виски ирланский Поугс медовый (оранжевый) 0.7л,5010,бристоль,2400,,,,,,,,,3200,2500
"Виски Джемесон не менее 3 лет купажир. 0,7 ",5720,,2800,,,,,,,,,3600,2050
"Виски Джек Дениел`сТеннесси 0,7 ",5890,,2900,,,,,,,,,3700,2150
