САРАТОВ,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп,,,,,,,,,,Новая цена
Вино Трамонтана Апулия красное полусладкое,,нет,490,Италия,Санджовезе,"10,5",,,,,,1000,450,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп,,,,,,,,,,
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1510,,450,Грузия,Саперави,"11,5",,,,,,1100,360,,,,,,,,,,
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2010,,730,Италия,Негроамаро,13,,,,,,1500,700,,,,,,,,,,
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2050,,730,Италия,Монтепульчано,13,,,,,,1600,730,,,,,,,,,,
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2070,,730,Италия,Примитиво\Негроамаро,15,,,,,,1700,730,,,,,,,,,,
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2080,,770,Италия,Примитиво,"13,5",,,,,,1500,550,,,,,,,,,,
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2250,,870,Италия,Монтепульчано,13,,,,,,1800,770,,,,,,,,,,
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2300,,870,Италия,Неро д'Авола,13,,,,,,1900,870,,,,,,,,,,
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2310,,900,Италия,Примитиво,14,,,,,,1900,850,,,,,,,,,,
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2350,,900,Италия,Ува Лонганези,"13,5",,,,,,1900,900,,,,,,,,,,
