ВОЛГОГРАД,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2250,,870,Испания,Темпранильо,"13,5",,,,,,2000,870
"Вино Бариста Пинотаж красное сухое 0,75 л",2490,,1000,ЮАР,Пинотаж,13,,,,,,2100,1000
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3020,,1300,Испания,Темпранильо,"13,5",,,,,,2300,1300
Вино Маркес Де Касерес Крианса красное сухое 0.75,3120,,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,2500,1350
"Вино Патриа Чика красное сухое 0,75 л",3210,,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,2500,1400
"Вино Терраш де Монсараш красное сухое 0,75 л",,нет в наличии,нет в налиии,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1700,650
Вино Трамонтана Апулия красное сухое,,нет,500,Италия,Санджовезе,11,,,,,,1000,400
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,"12,5",,,,,,1700,900
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет  ,Италия,Санджовезе,"12,5",,,,,,1800,630
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,2200,1200
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1510,,450,ЮАР,Пинотаж,"13,5",,,,,,1500,450
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1590,,500,Грузия,Саперави,11,,,,,,1400,400
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1680,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,1600,550
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1680,,550,Грузия,Саперави,12,,,,,,1700,450
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1770,,600,Грузия,Саперави,12,,,,,,1700,590
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",1950,,700,Грузия,Саперави,12,,,,,,1900,630
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2120,,800,Грузия,Саперави,11,,,,,,2000,690
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2670,,1100,Грузия,Саперави,12,,,,,,2100,1000
Вино Трамонтана Апулия красное полусладкое,,нет,500,Италия,Санджовезе,"10,5",,,,,,1000,450
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,нет,нет,Грузия,Саперави,"11,5",,,,,,1500,500
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1680,,550,Грузия,Саперави,"11,5",,,,,,1100,350
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2010,,730,Италия,Негроамаро,13,,,,,,1500,700
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2050,,730,Италия,Монтепульчано,13,,,,,,1600,730
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2070,,740,Италия,Примитиво\Негроамаро,15,,,,,,1700,730
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2080,,770,Италия,Примитиво,"13,5",,,,,,1500,650
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2250,,870,Италия,Монтепульчано,13,,,,,,1800,770
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2300,,870,Италия,Неро д'Авола,13,,,,,,1900,870
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2310,,900,Италия,Ува Лонганези,"13,5",,,,,,1900,900
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2360,,930,Италия,Примитиво,14,,,,,,1900,850
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2440,,970,Германия,Пино Нуар,"12,5",,,,,,2000,950
"Вино Баррелая красное полусухое 0,75 л",2490,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,2100,1000
"Вино Кьянти Ризерва красное полусухое 0,75 л",2670,,1100,Италия,Санджовезе\Мерло,13,,,,,,2000,950
"Вино Неро ди Тройя красное полусухое 0,75 л",2850,,1200,Италия,Неро ди Троя,15,,,,,,2200,1200
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3020,,1300,Италия,Монтепульчано,"13,5",,,,,,2200,1100
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3100,,1300,Италия,Сузуманьелло,"14,5",,,,,,2300,1300
Вино ВайНот?! IGP красное полусухое,3210,,1400,Италия,Зинфандель,15,,,,,,2500,1400
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет ,ЮАР,Пинотаж,"13,5",,,,,,1400,570
