ВОРОНЕЖ,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2120,800,800,Грузия,Саперави,11,,,,,,1799,750
"Плодовая алкогольная продукция Майрени полусладкая гранатовая 0,75 л",1410,нет,400,Армения,,12,,,,,,1399,400
"Вино Кахури Гвинис Марани Алазанская Долина красное полусладкое 0,75 л",1510,нет,450,Грузия,Ркацители,12,,,,,,1199,370
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1510,узнать,450,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,1199,370
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1510,узнать,450,Грузия,Саперави,11,,,,,,1199,370
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1510,нет,450,ЮАР,Пинотаж,"13,5",,,,,,1499,450
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2670,нет,1100,Грузия,Саперави,12,,,,,,2199,990
Вино Трамонтана Апулия красное полусладкое,1590,нет,500,Италия,Санджовезе,"10,5",,,,,,1499,500
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",1590,нет,500,Грузия,Саперави,"11,5",,,,,,1499,490
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1510,570,450,Грузия,Саперави,"11,5",,,,,,1199,400
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",1890,900,670,Италия,Монтепульчано,13,,,,,,1599,670
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2010,750,730,Италия,Негроамаро,13,,,,,,1599,650
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2090,800,780,Италия,Примитиво,"13,5",,,,,,1599,700
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2180,900,830,Италия,Монтепульчано,13,,,,,,1799,770
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2250,870,870,Италия,Неро д'Авола,13,,,,,,1999,870
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2310,900,900,Италия,Ува Лонганези,"13,5",,,,,,1999,900
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2400,950,900,Италия,Примитиво,14,,,,,,1899,850
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2450,950,950,Германия,Пино Нуар,"12,5",,,,,,2099,950
"Вино Баррелая красное полусухое 0,75 л",2490,1000,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,2199,1000
"Вино Кьянти Ризерва красное полусухое 0,75 л",2520,1100,1000,Италия,Санджовезе\Мерло,13,,,,,,2099,950
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2010,нет,730,Италия,Примитиво\Негроамаро,15,,,,,,1699,730
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",2850,нет,1200,Италия,Монтепульчано,"13,5",,,,,,2299,1100
