УФА,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
"Вино Патриа Чика красное сухое 0,75 л",3370,,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,,,,,2500,,,1299,,,,,,,
Вино Трамонтана Апулия красное сухое,,нет,500,Италия,Санджовезе,11,,,,,,,,,,1000,,,370,,,,,,,
"Вино Терраш де Монсараш красное сухое 0,75 л",,НЕТ,500,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,,,,,1800,,,650,,,,,,,
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",,НЕТ,750,Испания,Темпранильо,"13,5",,,,,,,,,,2000,,,870,,,,,,,
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,НЕТ,800,Италия,Санджовезе,"12,5",,,,,,,,,,1800,,,790,,,,,,,
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",,НЕТ,800,Испания,Бобаль\Гарнача,"12,5",,,,,,,,,,1800,,,800,,,,,,,
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,НЕТ,НЕТ,Чили,Пино Нуар,"12,5",,,,,,,,,,1700,,,650,,,,,,,
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,НЕТ,НЕТ,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,,,,,2200,,,1300,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1600,,450,Грузия,Саперави,11,,,,,,,,,,1400,,,400,,,,,,,
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1600,,450,ЮАР,Пинотаж,"13,5",,,,,,,,,,1500,,,450,,,,,,,
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1780,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,,,,,1600,,,550,,,,,,,
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1780,,550,Грузия,Саперави,12,,,,,,,,,,1700,,,450,,,,,,,
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1850,,590,Грузия,Саперави,12,,,,,,,,,,1700,,,590,,,,,,,
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2240,,800,Грузия,Саперави,11,,,,,,,,,,2000,,,690,,,,,,,
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,,,,,,,,2100,,,1000,,,,,,,
Вино Трамонтана Апулия красное полусладкое,,нет,550,Италия,Санджовезе,"10,5",,,,,,,,,,1000,,,450,,,,,,,
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",,НЕТ,НЕТ,Грузия,Саперави,12,,,,,,,,,,1900,,,630,,,,,,,
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,НЕТ,НЕТ,Грузия,Саперави,"11,5",,,,,,,,,,1500,,,500,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1600,,450,Грузия,Саперави,"11,5",,,,,,,,,,1100,,,500,,,,,,,
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2120,,730,Италия,Негроамаро,13,,,,,,,,,,1500,,,700,,,,,,,
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2060,,700,Италия,Примитиво\Негроамаро,15,,,,,,,,,,1700,,,730,,,,,,,
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2190,,770,Италия,Примитиво,"13,5",,,,,,,,,,1500,,,650,,,,,,,
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2000,,670,Италия,Монтепульчано,13,,,,,,,,,,1800,,,770,,,,,,,
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2370,,870,Италия,Монтепульчано,13,,,,,,,,,,1600,,,730,,,,,,,
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2430,,900,Италия,Ува Лонганези,"13,5",,,,,,,,,,1900,,,900,,,,,,,
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2480,МАЛО,930,Италия,Примитиво,14,,,,,,,,,,1900,,,850,,,,,,,
"Вино Кьянти Ризерва красное полусухое 0,75 л",2680,мало,1030,Италия,Санджовезе\Мерло,13,,,,,,,,,,2000,,,950,,,,,,,
"Вино Баррелая красное полусухое 0,75 л",2610,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,,,,,2100,,,1000,,,,,,,
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3050,МАЛО,1230,Италия,Монтепульчано,"13,5",,,,,,,,,,2200,,,1100,,,,,,,
Вино ВайНот?! IGP красное полусухое,3370,,1400,Италия,Зинфандель,15,,,,,,,,,,2500,,,1400,,,,,,,
