СОЧИ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,закуп,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1780,,550,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1750,,540,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2150,,750,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,,,
,,,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,закуп,,1800,
"Водка Тундра Аутентик 0,5",1600,,450,,,,,,,,,390,,1900,
"Водка Белая Березка 0,5",1880,,600,,,,,,,,,430,,2000,
"Водка Русский Стандарт Голд 0,5",2020,,680,,,,,,,,,440,,2100,
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2610,мало,1000,,,,,,,,,1000,,2500,
"Водка Белуга Нобл 0,5 л",2990,,1200,,,,,,,,,1100,,,
"Водка Чистые росы из ржаного зерна 0,5",2990,,1200,,,,,,,,,1200,,цена,
"Водка Зимняя деревенька на солодовом спирте 0,5",,нет,нет,,,,,,,,,360,,1100,
"Водка АБСОЛЮТ 40% 0,5Л",,нет,нет,,,,,,,,,1300,,1200,
,,,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,закуп,,1800,
"Водка Пять Озер 0,7",1740,,530,,,,,,,,,460,,1900,
"Водка Зимняя Деревенька на солодовом спирте  0,7",1810,,570,,,,,,,,,490,,1900,
"Водка Тундра Аутентик 0,7",1910,,620,,,,,,,,,450,,2000,
"Водка Дикий мед классика туба 0,7 л",2190,,770,,,,,,,,,650,,2200,
"Водка Белая Березка  0,7",2240,,800,,,,,,,,,590,,2200,
"Водка Русский Стандарт  0,7",2430,,900,,,,,,,,,630,,2300,
"Водка Белуга Трансатлантик Рейсинг 0,7 л",3920,,1700,,,,,,,,,990,,1000,
"Водка Чистые росы 0,7",4110,,1800,,,,,,,,,1500,,1200,
"Водка Суммум 0,7 л",5040,,2300,,,,,,,,,2300,,1300,
,,,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,закуп,,1800,
Водка Белая Березка 1Л,2810,,1100,,,,,,,,,770,,1400,
Водка Медведь 1 л,2810,,1100,,,,,,,,,900,,1500,
Водка Русский Стандарт 1л,2990,,1200,,,,,,,,,830,,1800,
Водка Зимняя Деревенька на солодовом спирте 1л,,нет,нет,,,,,,,,,560,,1100,
,,,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,закуп,,1400,
"Виски Наки Томпсон 3 года купажированный 0,5",2300,,830,,,,,,,,,790,,1400,
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2610,,1000,,,,,,,,,900,,1500,
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2810,,1100,,,,,,,,,900,,1800,
,,,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,закуп,,1400,
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2510,,940,,,,,,,,,650,,1800,
"Виски Наки Томпсон 3 года купажированный 0,7",2990,,1200,,,,,,,,,950,,1600,
"Виски купажированный шотландский Сир Эдвардс 0,7 л",3230,,1330,,,,,,,,,1200,,2300,
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7 ",3370,,1400,,,,,,,,,870,,2500,
"Виски (бурбон) Джим Бим 4 года зерновой 0,7",3450,,1450,,,,,,,,,1890,,2700,
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3550,,1500,,,,,,,,,1050,,2800,
"Виски Джонни Уокер Рэд Лейбл не менее 3 лет купажир. 0,7 л",4860,,2200,,,,,,,,,1399,,3000,
"Виски Джемесон не менее 3 лет купажир. 0,7",6150,,2900,,,,,,,,,2900,,1500,
"Виски Джек Дениел`сТеннесси 0,7",6350,очень мало,3000,,,,,,,,,2800,,2600,
"Виски Глен Морей Сингл Молт Оур Классик 0,7 л",6870,,3280,,,,,,,,,3100,,цена,
"Виски Чивас Ригал 12 лет купажированный в п/к 0,7 л",10270,,5100,,,,,,,,,4000,,1500,
"Виски Чивас Ригал 18 лет в п/к 0,7 л",20520,,10600,,,,,,,,,9600,,2000,
"Виски Макаллан Дабл Каск 12 лет п/к 0,7 л",28730,,15000,,,,,,,,,11760,,1600,
"Виски Лафройг 10 лет 0,7 л",,нет,нет,,,,,,,,,8700,,1800,
"Виски Джонни Блонде 0,7 л",,нет,нет,,,,,,,,,2250,,1900,
,,,,,,,,,,,,,,,
ВИСКИ 1л,новая цена,Наличие,New,,,,,,,,,закуп,,1400,
Виски Джонни Уокер Рэд Лейбл не менее 3 лет 1 л,5230,,2400,,,,,,,,,2799,,1100,
Виски (бурбон) Джим Бим 4 года зерновой 1 л,6350,,3000,,,,,,,,,2400,,,
Виски Теннесси Джек Дениел`с 1 л,8220,очень мало,4000,,,,,,,,,3800,,1300,
,,,,,,,,,,,,,,,
"КОНЬЯК 0,5л",новая цена,Наличие,New,,,,,,,,,закуп,,2700,
"Коньяк ординарный Армянский Коньяк 5 лет 0,5 л",1980,,660,,,,,,,,,560,,2400,
"Коньяк Фанагория 5 лет 0,5 л",2230,,790,,,,,,,,,610,,3200,
"Коньяк Старый Кенигсберг 3 года 0,5 л",2240,,800,,,,,,,,,640,,3600,
"Коньяк Старейшина 5 лет 0,5",2430,,900,,,,,,,,,740,,3500,
"Коньяк Армянский Кочари 7 лет подарочный п/к 0,5",2470,,920,,,,,,,,,740,,3900,
"Коньяк Ной Традиционный 5 лет 0,5",2610,,1000,,,,,,,,,850,,4400,
Коньяк Старейшина 7 лет 0.5,2610,,1000,,,,,,,,,770,,4700,
"Коньяк Армянский Арарат 5 лет п/к 0,5",3170,,1300,,,,,,,,,1200,,4400,
Бренди Торрес 10 лет Гран Резерва 0.5 ,3370,,1400,,,,,,,,,1150,,5600,
