КРАСНОДАР,новая цена,Наличие,New,страна,сорт винограда,крепость,,,цена,закуп,,,
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2370,,870,Испания,Темпранильо,"13,5",,,2000,870,,,
"Вино Бариста Пинотаж красное сухое 0,75 л",2610,,1000,ЮАР,Пинотаж,13,,,2100,1000,,,
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3170,,1300,Испания,Темпранильо,"13,5",,,2300,1300,,,
Вино Маркес Де Касерес Крианса красное сухое 0.75,3270,,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,2500,1350,,,
"Вино Патриа Чика красное сухое 0,75 л",3370,,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,2500,1400,,,
Вино Трамонтана Апулия красное сухое,,нет,490,Италия,Санджовезе,11,,,1000,400,,,
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,1800,630,,,
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,"12,5",,,1700,670,,,
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,2200,1150,,,
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,цена,закуп,,,
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1600,,450,ЮАР,Пинотаж,"13,5",,,1500,450,,,
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1670,,490,Грузия,Саперави,11,,,1400,400,,,
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1780,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,1600,550,,,
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1780,,550,Грузия,Саперави,12,,,1700,450,,,
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1880,,600,Грузия,Саперави,12,,,1700,590,,,
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2030,,690,Грузия,Саперави,12,,,1900,630,,,
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2240,,800,Грузия,Саперави,11,,,2000,690,,,
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,2100,1000,,,
Вино Трамонтана Апулия красное полусладкое,,нет,490,Италия,Санджовезе,"10,5",,,1000,450,,,
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,нет,нет,Грузия,Саперави,"11,5",,,1500,500,,,
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,цена,закуп,,,
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1600,,450,Грузия,Саперави,"11,5",,,1100,380,,,
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2120,,730,Италия,Негроамаро,13,,,1500,700,,,
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2120,,730,Италия,Монтепульчано,13,,,1600,730,,,
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2120,,730,Италия,Примитиво\Негроамаро,15,,,1700,730,,,
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2190,,770,Италия,Примитиво,"13,5",,,1500,600,,,
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2370,,870,Италия,Монтепульчано,13,,,1800,770,,,
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2370,,870,Италия,Неро д'Авола,13,,,1900,870,,,
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2430,,900,Италия,Примитиво,14,,,1900,850,,,
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2430,,900,Италия,Ува Лонганези,"13,5",,,1900,900,,,
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2520,,950,Германия,Пино Нуар,"12,5",,,2000,950,,,
"Вино Баррелая красное полусухое 0,75 л",2610,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,2100,1000,,,
"Вино Кьянти Ризерва красное полусухое 0,75 л",2680,,1030,Италия,Санджовезе\Мерло,13,,,2000,950,,,
"Вино Неро ди Тройя красное полусухое 0,75 л",2990,,1200,Италия,Неро ди Троя,15,,,2200,1200,,,
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3050,,1230,Италия,Монтепульчано,"13,5",,,2200,1100,,,
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3170,,1300,Италия,Сузуманьелло,"14,5",,,2300,1300,,,
Вино ВайНот?! IGP красное полусухое,3370,,1400,Италия,Зинфандель,15,,,2500,1400,,,
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,1400,500,,,
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,14,,,1800,850,,,
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,1500,500,,,
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1600,,450,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1600,,450,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",1600,,450,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,цена,закуп,,,
"Водка Зимняя деревенька на солодовом спирте 0,5",1550,,430,бристоль,,,,,1100,360,,,
"Водка Тундра Аутентик 0,5",1720,,520,,,,,,1000,390,,,
"Водка Белая Березка 0,5",1880,,600,,,,,,1100,430,,,
"Водка Русский Стандарт Голд 0,5",2020,,680,,,,,,1100,440,,,
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2610,,1000,,,,,,1800,1000,,,
"Водка Белуга Нобл 0,5 л",2990,,1200,,,,,,2300,1100,,,
"Водка Чистые росы 0,5 ",2990,,1200,,,,,,2500,1200,,,
"Водка АБСОЛЮТ 40% 0,5Л ",,нет,нет,,,,,,2500,1400,,,
"Водка Белый чай имбирь 0,5 л",,нет,нет,,,,,,1600,750,,,
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,цена,закуп,,,
"Водка Пять Озер 0,7",1740,,530,,,,,,1200,460,,,
"Водка Зимняя Деревенька на солодовом спирте  0,7",1850,,590,,,,,,1300,490,,,
"Водка Тундра Аутентик 0,7",1910,,620,,,,,,1200,450,,,
"Водка Белая Березка  0,7",2240,,800,,,,,,1400,590,,,
"Водка Русский Стандарт  0,7",2430,,900,,,,,,1400,630,,,
"Водка Белуга Транслантик 40% 0,7Л ",3920,,1700,,,,,,2700,1500,,,
"Водка Чистые росы 0,7 ",4110,,1800,,,,,,2700,1600,,,
