Калининград,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Водка АБСОЛЮТ 40% 0,5Л",,нет,нет,,,,,,,,,2499,1500
"Водка Данска 40% 0,7л в железе",,нет,нет,,,,,,,,,2699,1500
"Водка АБСОЛЮТ 40% 0,7Л",,нет,нет,,,,,,,,,2699,1500
"Водка Данска Грейпфрут 40% 0,7л Германия в железе",,нет,нет,,,,,,,,,2799,1600
"Водка Данска КранРаз 40% 0,7л в железе",,нет,нет,,,,,,,,,2799,1600
"Водка Данска Цитрус 40% 0,7л в железе",,нет,нет,,,,,,,,,2700,
"Водка Пять Озер 0,7",1470,нет,509,,,,,,,,,1199,480
"Водка Рисовая Укио 40% 0,7л Япония",,нет,нет,,,,,,,,,5400,
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Водка Русский Стандарт 1л,2040,,750,,,,,,,,,1899,860
Водка Зимняя Деревенька на солодовом спирте 1л,2210,,840,,,,,,,,,1499,710
Водка Белая Березка 1Л,2310,,900,,,,,,,,,1799,800
,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Напиток спиртной Нобл Стаг Яблоко 0,5 л",1690,,555,,,,,,,,,1299,640
"Напиток спиртной Нобл Стаг Спайсд 0,5 л",1700,,555,,,,,,,,,1299,640
"Виски Нобл Стаг 0,5 л",2040,,750,,,,,,,,,1399,670
"Виски Наки Томпсон 3 года купажированный 0,5",2280,,879,,,,,,,,,1599,770
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2310,,900,,,,,,,,,1999,900
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2310,,900,,,,,,,,,1999,890
Виски Чивас Ригал 12 лет купажир. п/к 0.5 ,5990,"кб, лавка бахуса",2950,,,,,,,,,5499,2950
"Спиртной напиток ДЖИМ БИМ ЭППЛ 32,5% 0,5Л",,нет,нет,,,,,,,,,2499,1310
,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2210,,840,,,,,,,,,1499,790
"Виски Наки Томпсон 3 года купажированный 0,7",2770,,1154,,,,,,,,,2099,1060
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7",3140,,1364,,,,,,,,,2299,1250
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3200,,1364,,,,,,,,,2299,1250
"Виски купажированный шотландский Сир Эдвардс 0,7 л",3300,,1390,,,,,,,,,2099,990
"Виски ДЖОННИ УОКЕР РЭД ЛЕЙБЛ 40% 0,7Л",3550,,1589,,,,,,,,,2799,1490
"Виски Дюарс Уайт Лейбл 3 года 0,7 л",3710,,1679,,,,,,,,,2999,1490
"Виски Джим Бим  0,7 л",3910,,1790,,,,,,,,,3199,1790
"Виски шотландский купажированный БАЛЛАНТАЙНС ФАЙНЕСТ 40% 0,7Л",4280,"кб, бутыль",1999,,,,,,,,,3399,1790
"Виски Дюарс Португиз Смуз 8 лет шотландский купажированный 0,7 л",4420,,2079,,,,,,,,,3999,1990
"Виски Джим Бим Эппл 0,7 л",4650,,2200,,,,,,,,,3499,1940
"Спиртной напиток ДЖЕК ДЭНИЕЛС ТЕННЕССИ ФАЭР 35% 0,7Л",4700,бристоль,2204,,,,,,,,,3299,1680
"Виски купажированный Инаизуми п/к 0,7 л",5350,,2590,,,,,,,,,3999,2400
"Виски Джемесон не менее 3 лет купажир. 0,7л",5630,,2749,,,,,,,,,3499,2190
"Виски Джек Дениел`с Теннесси 0,7 ",5700,МАЛО,2749,,,,,,,,,3999,2300
