Нижний Новгород,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Терраш де Монсараш красное сухое 0,75 л",1960,МАЛО,650,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,,,,,,,,,,,1700,,750
"Вино Саперави Бадагони красное сухое 0,75 л",2060,МАЛО,700,Грузия,Саперави,13,,,,,,,,,,,,,,,,1400,,690
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2150,,750,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,,,,,,,,,,,1700,,700
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2240,,800,Испания,Бобаль\Гарнача,"12,5",,,,,,,,,,,,,,,,1800,,770
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2240,,800,Испания,Темпранильо,"12,5",,,,,,,,,,,,,,,,1900,,800
"Вино Марселино Риоха красное сухое 0,75 л",2370,МАЛО,870,Испания,Темпранильо,"13,5",,,,,,,,,,,,,,,,1600,,770
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2370,,870,Испания,Темпранильо,"13,5",,,,,,,,,,,,,,,,2000,,870
"Вино Бариста Пинотаж красное сухое 0,75 л",2610,,1000,ЮАР,Пинотаж,13,,,,,,,,,,,,,,,,2100,,1000
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3170,,1300,Испания,Темпранильо,"13,5",,,,,,,,,,,,,,,,2300,,1300
Вино Маркес Де Касерес Крианса красное сухое 0.75,3270,,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,,,,,,,,,,,2500,,1350
"Вино Патриа Чика красное сухое 0,75 л",3370,,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,,,,,,,,,,,2500,,1400
Вино Трамонтана Апулия красное сухое,,нет,500,Италия,Санджовезе,11,,,,,,,,,,,,,,,,1000,,400
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,не продается,Чили,Пино Нуар,"12,5",,,,,,,,,,,,,,,,1700,,670
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,не продается,Италия,Санджовезе,"12,5",,,,,,,,,,,,,,,,1800,,630
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,не продается,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,,,,,,,,,,,2200,,1200
,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1600,,450,ЮАР,Пинотаж,"13,5",,,,,,,,,,,,,,,,1500,,450
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1680,,500,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,,,,,,,,,,,1400,,400
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1680,,500,Грузия,Саперави,11,,,,,,,,,,,,,,,,1400,,400
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1680,,500,Грузия,Саперави,12,,,,,,,,,,,,,,,,1700,,450
