САМАРА,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2170,,700,Португалия,Виньаон\Боррасал\Эшпадейро,,,620,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2410,,830,Италия,Примитиво/Мерло,,,750,,,,,,,,,,,1900,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Вино Саперави красное сухое 0,75 л",1590,,270,Россия,Саперави,,,250,,,,,,,,,,,1200,,,,,,,,,,,,,
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1680,,500,Испания,Темпранильо,,,490,,,,,,,,,,,1300,,,,,,,,,,,,,
"Вино Сол де Плата Мальбек красное сухое 0,75 л",1960,,650,Аргентина,Мальбек,,,590,,,,,,,,,,,1500,,,,,,,,,,,,,
"Вино Саперави Бадагони красное сухое 0,75 л",2060,,700,Грузия,Саперави,,,650,,,,,,,,,,,1400,,,,,,,,,,,,,
"Вино Марселино Риоха красное сухое 0,75 л",2060,,700,Испания,Темпранильо,,,670,,,,,,,,,,,1600,,,,,,,,,,,,,
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2580,,700,Испания,Темпранильо,,,870,,,,,,,,,,,2000,,,,,,,,,,,,,
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2420,,770,Испания,Темпранильо,,,770,,,,,,,,,,,1900,,,,,,,,,,,,,
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2280,,800,Испания,Бобаль\Гарнача,,,800,,,,,,,,,,,1800,,,,,,,,,,,,,
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2240,,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",,,630,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Бариста Пинотаж красное сухое 0,75 л",2640,,1000,ЮАР,Пинотаж,,,1000,,,,,,,,,,,2100,,,,,,,,,,,,,
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3170,,1300,Испания,Темпранильо,,,1300,,,,,,,,,,,2300,,,,,,,,,,,,,
Вино Маркес Де Касерес Крианса красное сухое 0.75,3270,,1350,Испания,Темпранильо/Гарнача/Грасиано,,,1350,,,,,,,,,,,2500,,,,,,,,,,,,,
"Вино Патриа Чика красное сухое 0,75 л",3370,МАЛО,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,,,1400,,,,,,,,,,,2500,,,,,,,,,,,,,
Вино Трамонтана Апулия красное сухое,,нет,нет,Италия,Санджовезе,,,400,,,,,,,,,,,1000,,,,,,,,,,,,,
"Вино Терраш де Монсараш красное сухое 0,75 л",,нет,нет,Португалия,Тринкадейра\Арагонеш\Кастелао,,,650,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Терраш де Монсараш красное сухое 0,75 л",,нет,нет,Португалия,Тринкадейра\Арагонеш\Кастелао,,,650,,,,,,,,,,,1800,,,,,,,,,,,,,
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,,,700,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,,,770,,,,,,,,,,,1800,,,,,,,,,,,,,
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет ,Италия,Корвина\Рондинелла\Молинара\Неграра,,,нет в наличии,,,,,,,,,,,2200,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
