,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1600,,450,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",1600,,450,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Зимняя деревенька на солодовом спирте 0,5",1550,бристоль,430,,,,,,,,,1100,360
"Водка Тундра Аутентик 0,5",1570,,440,,,,,,,,,1100,390
"Водка Русский Стандарт Голд 0,5	",1680,,500,,,,,,,,,1200,450
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2610,,1000,,,,,,,,,1800,1000
"Водка Белуга Нобл 0,5 л",2990,,1200,,,,,,,,,2300,1100
"Водка Белый чай имбирь 0,5 л",,нет,нет,,,,,,,,,1600,650
"Водка АБСОЛЮТ 40% 0,5Л ",,нет,нет,,,,,,,,,2500,1300
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Тундра Аутентик 0,7",1880,,600,,,,,,,,,1200,430
"Водка Зимняя деревенька на солодовом спирте 0,7",1880,,600,,,,,,,,,1200,600
"Водка Русский Стандарт  0,7",2060,,700,,,,,,,,,1400,630
"Водка Белая Березка  0,7",2150,,750,,,,,,,,,1300,590
"Водка БЕЛУГА ТРАНСАТЛАНТИК РЕЙСИНГ 40% 0,7Л",4020,,1750,,,,,,,,,2700,990
"Водка ФИНЛЯНДИЯ 40% 0,7Л",4110,,1800,,,,,,,,,2700,1700
"Водка ЧИСТЫЕ РОСЫ 40% 0,7Л ",4110,,1800,,,,,,,,,2600,1400
"Водка Суммум 0,7 л",4480,,2000,,,,,,,,,3000,2000
"Водка АБСОЛЮТ 40% 0,7Л ",,нет,нет,,,,,,,,,2800,1100
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Водка Зимняя Деревенька на солодовом спирте 1л,2240,бристоль,800,,,,,,,,,1500,700
Водка Русский Стандарт 1л ,2470,,920,,,,,,,,,1600,840
Водка Белая Березка 1Л,2520,,950,,,,,,,,,1500,770
Водка Медведь 1 л,2780,,1090,,,,,,,,,1700,900
,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Виски Наки Томпсон 3 года купажированный 0,5",2320,,840,,,,,,,,,1500,780
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2610,,1000,,,,,,,,,1600,900
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2610,,1000,,,,,,,,,2000,900
"Спиртной напиток ДЖИМ БИМ РЭД СТАГ БЛЭК ЧЕРРИ 4 ГОДА 32,5% 0,5Л",3820,нет,1900,,,,,,,,,2900,1900
,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
