СИГАРЕТЫ И СТИКИ (за пачку),новая цена,Наличие,New,,,,закуп,,,,,,,,,,,,,,,,,,,цена
Сигареты Ротманс Грин,399,,159,,,,40,,,,,,,,,,,,,,,,,,,499
Сигареты LUCKY STRIKE Green,399,,159,,,,40,,,,,,,,,,,,,,,,,,,499
Сигареты Ротманс Дэми Классик,419,,170,,,,,,,,,,,,,,,,,,,,,,,499
Сигареты Камелл Желтый,449,,189,,,,50,,,,,,,,,,,,,,,,,,,499
Сигареты LUCKY STRIKE XL,449,,190,,,,50,,,,,,,,,,,,,,,,,,,499
Сигареты Камелл Компакт,469,,190,,,,,,,,,,,,,,,,,,,,,,,499
Стики NEO Ванилла\Тобакко\Тропик,469,,190,,,,80,,,,,,,,,,,,,,,,,,,499
Стики IQOS Heets Янтарные\Бронзовые\Голд\Грин\Фиол.\Слайт\Самер Бриз,499,,200,,,,90,,,,,,,,,,,,,,,,,,,499
Сигареты Винстон Вайт,499,,200,,,,90,,,,,,,,,,,,,,,,,,,499
Сигареты Винстон ИксСтайл,499,,202,,,,100,,,,,,,,,,,,,,,,,,,499
Сигареты Винстон xs blue Тонкие,509,,223,,,,150,,,,,,,,,,,,,,,,,,,499
Сигареты Винстон XS компакт блю,539,,230,,,,220,,,,,,,,,,,,,,,,,,,499
Сигареты Парламент Платинум Блю,539,,230,,,,220,,,,,,,,,,,,,,,,,,,499
Сигареты Винстон Рэд,539,,230,,,,250,,,,,,,,,,,,,,,,,,,499
Сигареты Винстон Блю,539,,230,,,,,,,,,,,,,,,,,,,,,,,499
Сигареты Винстон Сильвер,539,,233,,,,закуп,,,,,,,,,,,,,,,,,,,499
Сигареты Винстон Классик,549,,240,,,,159,,,,,,,,,,,,,,,,,,,499
Сигареты Парламент аква блю,559,,279,,,,159,,,,,,,,,,,,,,,,,,,599
Сигареты Парламент сильвер блю,619,,279,,,,170,,,,,,,,,,,,,,,,,,,599
Сигареты Парламент One,629,,279,,,,189,,,,,,,,,,,,,,,,,,,599
,,,,,,,190,,,,,,,,,,,,,,,,,,,
"МЯСО, РЫБА И СЫР КОПЧЕНОЕ\НАРЕЗНОЕ",новая цена,NEW,Наличие,,,,190,,,,,,,,,,,,,,,,,,,цена
Колбаса Микоян сырокопченая 80г,199,64,,,,,190,,,,,,,,,,,,,,,,,,,199
Крабовые палочки 200г,249,85,,,,,200,,,,,,,,,,,,,,,,,,,249
Сосиски МОЛОЧНЫЕ 290Г,349,115,,,,,200,,,,,,,,,,,,,,,,,,,349
Сыр копченый косичка 90г,399,140,,,,,202,,,,,,,,,,,,,,,,,,,399
Рыба Копченная ПОРТ АРТУР Желтый полосатик\,349,140,,,,,223,,,,,,,,,,,,,,,,,,,349
Кольца кальмара\Мясо кальмара сушено-вяленое\ ,349,140,,,,,230,,,,,,,,,,,,,,,,,,,349
Кальмар сушеный\Стружка минтая\ 60г,349,140,,,,,230,,,,,,,,,,,,,,,,,,,349
"Рыбка сушеная желтый полосатик ""Чистое море""",349,145,,,,,230,,,,,,,,,,,,,,,,,,,349
Филе сельди\горбуша/скумбрия 200г,399,200,,,,,230,,,,,,,,,,,,,,,,,,,399
Кальмар Сухогруз сушеныйм70г,399,200,,,,,233,,,,,,,,,,,,,,,,,,,399
Сыр плавленый HOCHLAND\PRESIDENT 150г,449,155,,,,,240,,,,,,,,,,,,,,,,,,,449
Сервелат 300г,499,140,,,,,279,,,,,,,,,,,,,,,,,,,499
Сыр в ассортименте 180г,899,250,,,,,279,,,,,,,,,,,,,,,,,,,899
Сыр плавленый VIOLA Чеддер ломтики 140г,899,250,,,,,279,,,,,,,,,,,,,,,,,,,899
,,,,,,,,,,,,,,,,,,,,,,,,,,
ШОКОЛАД И КОНФЕТЫ,цена,закуп,,,,,закуп,,,,,,,,,,,,,,,,,,,
Набор конфет RAFFAELLO 150Г коробка,800,350,,,,,64,,,,,,,,,,,,,,,,,,,
Набор конфет Ферреро Роше 125г коробка,800,350,,,,,85,,,,,,,,,,,,,,,,,,,
"Шоколад Чоко энд Натс молочный с цельным фундуком\с миндалем\белый с цельным фундуком, 200г",600,259,,,,,115,,,,,,,,,,,,,,,,,,,
"Набор конфет Мерси ассорти, 250 г коробка",800,350,,,,,140,,,,,,,,,,,,,,,,,,,
"Набор конфет Тоффифе, 125 г коробка",600,,,,,,140,,,,,,,,,,,,,,,,,,,
Шоколад Милка молочный с карамелью\молочный\ с фундуком\миндаль и лесные ягоды 90г,200,85,,,,,140,,,,,,,,,,,,,,,,,,,
"Набор конфет ОРЕШКА с цельным фундуком со вкусом сливок, 150 г",500,120,,,,,140,,,,,,,,,,,,,,,,,,,
"Набор конфет Дав Promises ассорти, 118г, коробка",750,300,,,,,145,,,,,,,,,,,,,,,,,,,
"Набор конфет Родные Просторы с вафельной крошкой, 180 г",450,160,,,,,200,,,,,,,,,,,,,,,,,,,
"Шоколад Милка Мммакс Арахис и Карамель, 270 г",850,400,,,,,200,,,,,,,,,,,,,,,,,,,
"Конфеты А.Коркунов Шоколадная палитра, 143 г коробка",600,250,,,,,155,,,,,,,,,,,,,,,,,,,
Шоколад Альпен Гольд молочный\молочный Орео\с фундуком\ с черникой и йогуртом 80 г,180,70,,,,,140,,,,,,,,,,,,,,,,,,,
,,,,,,,,250,,,,,,,,,,,,,,,,,,
,,,,,,,,250,,,,,,,,,,,,,,,,,,
